,,Producto,Servicio,Plataforma,Ecosistema,,,,,,,
Modelo de negocio,modelo_negocio,9,8,9,8,,,,,,,
,,,,,,,,,,,,
,,Idea,Concepto,Prototipo,MVP,Primeras ventas,Crecimiento,,,,,
Avance solución,avance_solucion,3,3,3,10,10,9,,,,,
,,,,,,,,,,,,
,,3,8,15,37,,,,,,,
Horas dedicación,horas_dedicacion,7,7,8,8,,,,,,,
,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,
Total fundadores,total_fundadores,7,8,8,8,8,8,8,4,4,5,
,,,,,,,,,,,,
,,No,Sí,,,,,,,,,
Problema orgánico,problema_organico,7,8,,,,,,,,,
,,,,,,,,,,,,
,,No,Pronto,Sí,,,,,,,,
Punto equilibrio,punto_equilibrio,4,7,14,,,,,,,,
,,,,,,,,,,,,
,,Decreciente,Estable,Creciente,,,,,,,,
Personas afectadas,personas_afectadas,8,9,9,,,,,,,,
,,,,,,,,,,,,
,,No sé lo que es,CAC menor a LTV,CAC mayor a LTV,,,,,,,,
CAC vs LTV,cac_ltv,8,10,8,,,,,,,,
,,,,,,,,,,,,
,,0,0-1,2-4,5-9,10+,,,,,,
Años promedio emprendiendo,emprendiendo_promedio,9,11,9,9,8,,,,,,
,,,,,,,,,,,,
,,"""No es importante""","""Poco importante""","""Neutral""","""Importante""","""Muy importante""",,,,,,
Importancia,importancia,7,7,8,7,8,,,,,,
,,,,,,,,,,,,
,,"""Por necesidad o incremento económico""","""Por oportunidad detectada""","""Por realización personal""","""Por contribución social""","""Para lograr independencia""",,,,,,
Motivación,motivacion,0,0,0,0,0,,,,,,
,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10
Numero de países,paises,7,11,13,13,11,9,8,10,8,9,7
,,,,,,,,,,,,
,,0-24,25-49,50-74,75-100,,,,,,,
Nivel orquestación,nivel_orquestacion,7,7,7,7,,,,,,,
,,,,,,,,,,,,
,,"""Bajo""","""Medio""","""Alto""",,,,,,,,
Potencial solución,potencial_solucion,7,7,7,,,,,,,,
,,,,,,,,,,,,
,,0,1-5,6-10,11-20,21-50,51-75,76-100,100+,,,
ROI,roi,4,10,11,10,11,11,10,11,,,
,,,,,,,,,,,,
,,"""Canales""","""Network Effects""","""Apertura de nuevos mercados""","""Desarrollo de nuevos productos""",,,,,,,
Modelo escalable,modelo_escalable,0,0,0,0,,,,,,,
,,,,,,,,,,,,
,,Local,Nacional,LATAM,Mundial,,,,,,,
Alcance,alcance,7,6,8,8,,,,,,,
,,,,,,,,,,,,
,,"""0""","""Menor a 200""","""Entre 200 y 800""","""Entre 800 y 3000""","""Entre 3000 y 10000""","""Mayor a 10000""",,,,,
Total  financiamiento,total_financiamiento,7,9,9,8,9,9,,,,,
,,,,,,,,,,,,
,,0,1-5,6-10,11-20,21-50,51-75,76-100,100+,,,
Tracción clientes,traccion_clientes,4,11,10,10,11,11,11,11,,,
,,,,,,,,,,,,
,,"""No lo tengo claro""","""Menor a 600""","""Entre 600 y 3000""","""Entre 3000 y 12000""","""Entre 12000 y 60000""","""Mayor a 60000""",,,,,
Valuation,valuation,8,10,11,12,11,11,,,,,