,,Producto,Servicio,Plataforma,Ecosistema,,,,,,
Modelo de negocio,modelo_negocio,9,8,9,8,,,,,,
,,,,,,,,,,,
,,Idea,Concepto,Prototipo,MVP,Primeras ventas,Crecimiento,,,,
Avance solución,avance_solucion,3,3,3,10,10,9,,,,
,,,,,,,,,,,
,,3,8,15,37,,,,,,
Horas dedicación,horas_dedicacion,7,7,8,8,,,,,,
,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10
Total fundadores,total_fundadores,7,8,8,8,8,8,8,4,4,5
,,,,,,,,,,,
,,No,Sí,,,,,,,,
Problema orgánico,problema_organico,7,8,,,,,,,,
,,,,,,,,,,,
,,No,Pronto,Sí,,,,,,,
Punto equilibrio,punto_equilibrio,4,7,14,,,,,,,
,,,,,,,,,,,
,,Decreciente,Estable,Creciente,,,,,,,
Personas afectadas,personas_afectadas,8,9,9,,,,,,,
,,,,,,,,,,,
,,0-24,25-49,50-74,75-100,,,,,,
Nivel orquestación,nivel_orquestacion,7,7,7,7,,,,,,